Loops,Steps,Time,AvgLoss,MeanReward,StdReward,TotalReward,Flags
202,413696,11.103954,1.0654,0.4854,0.5358,994.12,0.0
203,415744,10.882835,1.6497,0.3754,0.5512,768.79,5.5
204,417792,10.975286,1.2535,0.5084,0.5783,1041.12,0.0
205,419840,10.662134,0.8926,0.5021,0.5889,1028.40,0.0
206,421888,10.949946,1.2458,0.5019,0.5935,1027.90,0.0
207,423936,11.088049,0.9560,0.6259,0.5568,1281.90,0.0
208,425984,10.808109,1.5130,0.5048,0.5928,1033.88,0.0
209,428032,9.999271,1.4304,0.5028,0.6121,1029.78,0.0
210,430080,10.355649,0.8395,0.5033,0.5388,1030.78,0.0
211,432128,10.951568,1.5650,0.3999,0.5305,819.03,5.25
212,434176,10.789114,0.3298,0.5437,0.5354,1113.43,0.0
213,436224,11.028591,1.7621,0.5211,0.5986,1067.18,0.0
214,438272,10.750054,0.9641,0.4892,0.5474,1001.96,5.5
215,440320,10.843012,1.6952,0.3746,0.6012,767.10,0.0
216,442368,10.652115,0.7341,0.4747,0.5615,972.20,0.0
217,444416,10.474033,0.7403,0.4152,0.5504,850.42,0.0
218,446464,10.472801,1.2033,0.3093,0.5604,633.40,0.0
219,448512,10.142350,0.4092,0.3752,0.5677,768.45,0.0
220,450560,10.392091,0.7154,0.3698,0.5328,757.35,0.0
221,452608,10.711869,0.0405,0.1918,0.3741,392.82,1.5
222,454656,10.856667,0.7867,0.1861,0.3800,381.14,3.75
223,456704,11.035879,1.0160,0.2819,0.4911,577.42,0.0
224,458752,10.631890,0.9381,0.3407,0.5295,697.85,0.0
225,460800,10.840679,1.1404,0.3246,0.5768,664.85,0.0
226,462848,10.744991,0.4196,0.4400,0.5154,901.17,0.0
227,464896,10.685732,1.1116,0.4276,0.5629,875.82,0.0
228,466944,10.810054,0.9162,0.3320,0.5417,679.85,0.0
229,468992,10.904739,0.7089,0.3076,0.5621,629.90,0.0
230,471040,10.780763,0.5266,0.3722,0.5411,762.30,0.0
